item - centres - c - cp,item - centres - c - com,item - centres - c - pob,item - id,item - dep,item - nom,item - resp,item - iddep
8002,Barcelonès,Barcelona,11325,Departament de Governació i Relacions Institucionals,Atenció a Persones Represaliades,M. Jesús Cabrero i Olivan,655
8940,Baix Llobregat,Cornellà de Llobregat,18247,Departament de Salut,Atenció a la Salut Sexual i Reproductiva (ASSIR) 8 de març,null,2803
25620,Pallars Jussà,Tremp,15147,Departament de Salut,Atenció al Ciutadà. Regió Sanitària Alt Pirineu i Aran,Griselda Esquerra i Montseny,2803
43002,Tarragonès,Tarragona,6980,Departament de Salut,Atenció al Ciutadà. Regió Sanitària Camp de Tarragona,Teresa Rabadà i Arnau,2803
8241,Bages,Manresa,15138,Departament de Salut,Atenció al Ciutadà. Regió Sanitària Catalunya Central,Rosa Aguilera Terrado,2803
17002,Gironès,Girona,6987,Departament de Salut,Atenció al Ciutadà. Regió Sanitària Girona,Carme González,2803
25006,Segrià,Lleida,6975,Departament de Salut,Atenció al Ciutadà. Regió Sanitària Lleida,Marta Beberide i Nodal,2803
43500,Baix Ebre,Tortosa,6984,Departament de Salut,Atenció al Ciutadà. Regió Sanitària Terres de l'Ebre,Josep Francesc Vicent i Nicolau,2803
8208,Vallès Occidental,Sabadell,18867,Departament de Salut,Atenció al Viatger Parc Taulí (Sabadell),null,2803
8037,Barcelonès,Barcelona,11201,Departament de Cultura,Aula de Música Tradicional i Popular,null,2221
8227,Vallès Occidental,Terrassa,18897,Departament de Salut,"Aura Salut pública i Serveis Sociosanitaris, SL",null,2803
8014,Barcelonès,Barcelona,18901,Departament de Territori i Sostenibilitat,"Autometro, SA",null,3392
8040,Barcelonès,Barcelona,4146,Departament de Territori i Sostenibilitat,"Autopistes de Catalunya, SA Concessionària de la Generalitat (AUCAT)",José Aljaro i Navarro,3392
8018,Barcelonès,Barcelona,13751,Autoritat Catalana de Protecció de Dades,Autoritat Catalana de Protecció de Dades,M. Àngels Barbarà i Fondevila,13751
8010,Barcelonès,Barcelona,13123,Departament d'Economia i Coneixement,Autoritat Catalana de la Competència,Arseni Gibert i Bosch,1103
43004,Tarragonès,Tarragona,13753,Departament de Territori i Sostenibilitat,Autoritat Territorial de la Mobilitat (ATM). Camp de Tarragona,Joan Manrubia i Gibert,3392
43005,Tarragonès,Tarragona,,,,,
17002,Gironès,Girona,15518,Departament de Territori i Sostenibilitat,Autoritat Territorial de la Mobilitat (ATM). Àrea de Girona,Teresa Barceló i Badosa,3392
25003,Segrià,Lleida,15982,Departament de Territori i Sostenibilitat,Autoritat Territorial de la Mobilitat (ATM). Àrea de Lleida,José Luis Cunillera Sánchez,3392
25002,Segrià,Lleida,,,,,
8021,Barcelonès,Barcelona,7582,Departament de Territori i Sostenibilitat,Autoritat del Transport Metropolità (ATM). Àrea de Barcelona,Josep A. Grau,3392
8002,Barcelonès,Barcelona,16541,Departament de Cultura,Avaluació i Sistemes d'Informació (ICEC),Mireia Sanahuja Pascual,2221
8130,Vallès Occidental,Santa Perpètua de Mogoda,4627,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Avís d'Incendis Forestals Centralitzat a Santa Perpètua de Mogoda,null,4163
43870,Montsià,Amposta,4635,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Avís d'Incendis Forestals a Amposta,null,4163
17005,Gironès,Girona,4631,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Avís d'Incendis Forestals a Girona,null,4163
25005,Segrià,Lleida,4632,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Avís d'Incendis Forestals a Lleida,null,4163
25560,Pallars Sobirà,Sort,4633,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Avís d'Incendis Forestals a Sort,null,4163
43006,Tarragonès,Tarragona,4634,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Avís d'Incendis Forestals a Tarragona,null,4163
8500,Osona,Vic,4630,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Avís d'Incendis Forestals a Vic,null,4163
8911,Barcelonès,Badalona,17683,Departament de Justícia,Badalona. Servei d'Informació Mediadora (SIM) de l'Ajuntament,null,13757
8214,Vallès Occidental,Badia del Vallès,18071,Departament de Justícia,Badia del Vallès. Servei d'Informació Mediadora (SIM) de l'Ajuntament,null,13757
25600,Noguera,Balaguer,18073,Departament de Justícia,Balaguer. Servei d'Informació Mediadora (SIM) del Consell Comarcal de la Noguera,null,13757
8005,Barcelonès,Barcelona,3018,Departament de Salut,Banc de Sang i Teixits (BST),Enric Argelagués Vidal,2803
8012,Barcelonès,Barcelona,10814,Departament d'Economia i Coneixement,Barcelona Centre Universitari,Albert Montull,1103
